,x_l,x_m,x_r,m_l,m_m,m_r,y_l,y_m,y_r
0,-0.28,-0.23,-0.18,-0.56,-0.51,-0.46,0.06999999999999999,0.12,0.16999999999999998
1,-0.18,-0.13,-0.08,0.16999999999999998,0.22,0.27,0.47000000000000003,0.52,0.5700000000000001
2,-0.05,0.0,0.05,-0.13,-0.08,-0.03,-0.13,-0.08,-0.03
3,-0.38,-0.33,-0.28,-0.16,-0.11,-0.06,-0.13,-0.08,-0.03
4,0.34,0.39,0.44,-0.53,-0.48,-0.43,0.06999999999999999,0.12,0.16999999999999998
5,0.97,1.02,1.07,0.6699999999999999,0.72,0.77,1.07,1.12,1.1700000000000002
6,-0.39999999999999997,-0.35,-0.3,-0.22999999999999998,-0.18,-0.13,-0.33,-0.28,-0.23000000000000004
7,-0.28,-0.23,-0.18,-0.18,-0.13,-0.08,0.27,0.32,0.37
8,0.34,0.39,0.44,0.47000000000000003,0.52,0.5700000000000001,-1.1300000000000001,-1.08,-1.03
9,-0.13,-0.08,-0.03,-0.31,-0.26,-0.21000000000000002,-0.33,-0.28,-0.23000000000000004
10,-0.28,-0.23,-0.18,1.03,1.08,1.1300000000000001,-1.1300000000000001,-1.08,-1.03
11,0.039999999999999994,0.09,0.14,0.48000000000000004,0.53,0.5800000000000001,-0.33,-0.28,-0.23000000000000004
12,-0.33999999999999997,-0.29,-0.24,-0.24,-0.19,-0.14,-0.33,-0.28,-0.23000000000000004
13,-0.11,-0.06,-0.009999999999999995,0.09999999999999999,0.15,0.2,-0.93,-0.88,-0.83
14,0.22000000000000003,0.27,0.32,0.6799999999999999,0.73,0.78,-0.13,-0.08,-0.03
15,0.13,0.18,0.22999999999999998,-0.22999999999999998,-0.18,-0.13,0.27,0.32,0.37
16,0.33,0.38,0.43,0.16999999999999998,0.22,0.27,0.47000000000000003,0.52,0.5700000000000001
17,0.38,0.43,0.48,0.47000000000000003,0.52,0.5700000000000001,-0.7300000000000001,-0.68,-0.63
18,-0.020000000000000004,0.03,0.08,0.15000000000000002,0.2,0.25,-0.28,-0.23,-0.18
19,-0.55,-0.5,-0.45,-0.7300000000000001,-0.68,-0.63,0.12000000000000001,0.17,0.22000000000000003
20,-0.020000000000000004,0.03,0.08,0.26,0.31,0.36,0.12000000000000001,0.17,0.22000000000000003
21,0.36,0.41,0.45999999999999996,0.7,0.75,0.8,-0.28,-0.23,-0.18
22,-0.13,-0.08,-0.03,-0.53,-0.48,-0.43,-0.28,-0.23,-0.18
23,0.61,0.66,0.7100000000000001,1.4,1.45,1.5,-1.28,-1.23,-1.18
24,0.23000000000000004,0.28,0.33,-0.5,-0.45,-0.4,0.32,0.37,0.42
25,-0.38,-0.33,-0.28,0.5,0.55,0.6000000000000001,-0.48,-0.43,-0.38
26,0.48000000000000004,0.53,0.5800000000000001,1.9,1.95,2.0,-1.08,-1.03,-0.98
27,-0.13,-0.08,-0.03,0.5499999999999999,0.6,0.65,-0.48,-0.43,-0.38
28,-0.13,-0.08,-0.03,-0.5,-0.45,-0.4,0.32,0.37,0.42
29,-0.38,-0.33,-0.28,0.0,0.05,0.1,0.12000000000000001,0.17,0.22000000000000003
30,-0.08,-0.03,0.020000000000000004,-0.2,-0.15,-0.09999999999999999,0.9199999999999999,0.97,1.02
31,0.009999999999999995,0.06,0.11,-0.16999999999999998,-0.12,-0.06999999999999999,-0.08,-0.03,0.020000000000000004
32,-0.38,-0.33,-0.28,-0.8,-0.75,-0.7,-0.08,-0.03,0.020000000000000004
33,-0.08,-0.03,0.020000000000000004,-0.24,-0.19,-0.14,-0.68,-0.63,-0.58
34,0.51,0.56,0.6100000000000001,-0.16,-0.11,-0.06,-0.48,-0.43,-0.38
35,-0.13,-0.08,-0.03,-0.21000000000000002,-0.16,-0.11,-0.88,-0.83,-0.7799999999999999
36,0.7,0.75,0.8,0.27,0.32,0.37,-0.08,-0.03,0.020000000000000004
37,0.41000000000000003,0.46,0.51,0.18,0.23,0.28,0.5199999999999999,0.57,0.62
38,-0.55,-0.5,-0.45,-0.93,-0.88,-0.83,-0.08,-0.03,0.020000000000000004
39,0.13,0.18,0.22999999999999998,-0.28,-0.23,-0.18,0.12000000000000001,0.17,0.22000000000000003
40,0.11,0.16,0.21000000000000002,0.03,0.08,0.13,-0.08,-0.03,0.020000000000000004
41,-0.55,-0.5,-0.45,-1.06,-1.01,-0.96,-0.08,-0.03,0.020000000000000004
42,-0.47,-0.42,-0.37,-0.66,-0.61,-0.5599999999999999,0.32,0.37,0.42
43,-0.26,-0.21,-0.15999999999999998,-0.39999999999999997,-0.35,-0.3,-0.08,-0.03,0.020000000000000004
44,-0.13,-0.08,-0.03,-0.45999999999999996,-0.41,-0.36,0.12000000000000001,0.17,0.22000000000000003
45,-0.32,-0.27,-0.22000000000000003,0.4,0.45,0.5,-0.48,-0.43,-0.38
46,-0.2,-0.15,-0.09999999999999999,0.16999999999999998,0.22,0.27,-0.08,-0.03,0.020000000000000004
47,-0.22999999999999998,-0.18,-0.13,-0.2,-0.15,-0.09999999999999999,0.9199999999999999,0.97,1.02
48,0.21000000000000002,0.26,0.31,-0.1,-0.05,0.0,-0.48,-0.43,-0.38
49,-0.18,-0.13,-0.08,-0.07,-0.02,0.030000000000000002,0.32,0.37,0.42
50,0.36,0.41,0.45999999999999996,0.0,0.05,0.1,-0.48,-0.43,-0.38
51,0.16999999999999998,0.22,0.27,-0.05,0.0,0.05,0.9199999999999999,0.97,1.02
52,-0.51,-0.46,-0.41000000000000003,0.0,0.05,0.1,0.12000000000000001,0.17,0.22000000000000003
53,-0.38,-0.33,-0.28,0.46,0.51,0.56,-0.08,-0.03,0.020000000000000004
54,-0.47,-0.42,-0.37,-0.39999999999999997,-0.35,-0.3,-0.48,-0.43,-0.38
55,0.03,0.08,0.13,0.23000000000000004,0.28,0.33,0.12000000000000001,0.17,0.22000000000000003
56,1.1099999999999999,1.16,1.21,-0.3,-0.25,-0.2,0.9199999999999999,0.97,1.02
57,-0.24,-0.19,-0.14,-0.2,-0.15,-0.09999999999999999,0.32,0.37,0.42
58,-0.13,-0.08,-0.03,0.0,0.05,0.1,-0.08,-0.03,0.020000000000000004
59,0.36,0.41,0.45999999999999996,0.11,0.16,0.21000000000000002,0.32,0.37,0.42
